epoch	time	lr	train loss	train acc	test acc
Namespace(dataset='imagenet', arch='vit', outdir='output/aug_mixup', workers=4, epochs=400, batch=1024, lr=0.1, lr_step_size=30, gamma=0.05, use_mixup=True, data_aug=True, momentum=0.9, weight_decay=0.0001, noise_sd=0.25, gpu=None, print_freq=10)
196	0:0	1.56e-09	5.06	0.0	33.8
197	0:0	1.56e-09	5.08	0.0	33.8
198	0:0	1.56e-09	5.1	0.0	33.8
199	0:0	1.56e-09	5.07	0.0	33.8
200	0:0	1.56e-09	5.06	0.0	33.8
201	0:0	1.56e-09	5.08	0.0	33.9
202	0:0	1.56e-09	5.08	0.0	33.8
203	0:0	1.56e-09	5.09	0.0	33.8
204	0:0	1.56e-09	5.09	0.0	33.8
205	0:0	1.56e-09	5.08	0.0	33.8
206	0:0	1.56e-09	5.09	0.0	33.8
207	0:0	1.56e-09	5.09	0.0	33.8
208	0:0	1.56e-09	5.08	0.0	33.8
209	0:0	1.56e-09	5.08	0.0	33.8
210	0:0	3.91e-12	5.06	0.0	33.8
211	0:0	7.81e-11	5.06	0.0	33.8
212	0:0	7.81e-11	5.08	0.0	33.8
213	0:0	7.81e-11	5.06	0.0	33.9
214	0:0	7.81e-11	5.1	0.0	33.8
